"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","849","TC-LOGIN-002: Login with invalid credentials","Mobile Chrome","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","866","TC-LOGIN-004: Login with empty password","Mobile Chrome","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","870","TC-LOGIN-003: Login with empty username","Mobile Chrome","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","1646","TC-INV-003: Sort products by name Z to A","Mobile Chrome","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","869","TC-LOGIN-001: Login with valid credentials","firefox","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","639","TC-LOGIN-003: Login with empty username","chromium","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","772","TC-LOGIN-002: Login with invalid credentials","firefox","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","1453","TC-LOGIN-001: Login with valid credentials","Mobile Safari","2026-02-11","passed","2026-02-11","Login Tests","login.spec.js","",""
"","2374","TC-CHECKOUT-006: Checkout summary is displayed correctly","webkit","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","1264","TC-INV-006: Add single product to cart","firefox","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
